StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,. - ALBION STUDENT ID,TERM CODE,COURSE|CRSE TITLE|CRN,COURSE|CRSE TITLE|CRN,COURSE|CRSE TITLE|CRN,"PLEASE READ CAREFULLY, AGREE TO EACH SECTION.



1. Students may elect to take no more than 8 units of credit/no credit courses toward the 32 units required for graduation. Students may take only 1 unit of CR/NC per semester. Taking a class credit/no credit will not affect the core, category or mode but may impact GPA calculations for admissions purposes at other institutions.",2. The time period for submitting an application for credit/no credit grading begins with registration and ends at 5 pm on last class day of the semester. You are allowed to switch back to numerical grading at any point before 5 pm on the last class day.,"3. Final grades are officially recorded as ""Credit"" or ""No Credit"". You will only receive the ""Credit"" designation if your final grade is a 2.0 or higher. If your final grade is lower than a 2.0 you will receive the ""No Credit"" designation. Neither grade designation is figured into your grade point average. Only courses in which you receive the ""Credit"" designation will be added to your total units earned.",4. Casses taken within your major/minor may not be taken as credit/no credit without prior approval from the department.,"5. Medical, professional and graduate programs require courses to be taken for a grade. LSDAS, Law School Admissions Council computes NC as grades of failure.",I have read and understand the Credit/No Credit grading policy.  (Please enter your full name to agree.)
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_TEXT""}"
2022-02-15 13:05:59,2022-02-15 13:06:28,Survey Preview,,100,28,True,2022-02-15 13:06:30,R_3HXLNjFCXLqSdus,,,,,12.9633941650390625,77.58551025390625,preview,EN,000000001,Summer 2021 (202120),CHEM 154|Organic Structure & Reactivity|2006,,,I have read and understand this section,I have read and understand this section,I have read and understand this section,I have read and understand this section,I have read and understand this section,shree
2022-02-16 10:01:19,2022-02-16 10:01:49,Survey Preview,,100,30,True,2022-02-16 10:01:51,R_3rHAOP18K0jpW4B,,,,,12.9633941650390625,77.58551025390625,preview,EN,000000009,Summer 2021 (202120),CHEM 212|Organic Chem:Mechan&Synthesis|2007,,,I have read and understand this section,I have read and understand this section,I have read and understand this section,I have read and understand this section,I have read and understand this section,shree
2022-02-18 08:44:46,2022-02-18 09:37:46,Survey Preview,,100,3179,True,2022-02-18 09:37:48,R_3PRWLM97l2TYI2c,,,,,12.9633941650390625,77.58551025390625,preview,EN,000000009,Fall 2021 (202130),,MUS 100|Music Major Seminar|1001,,I have read and understand this section,I have read and understand this section,I have read and understand this section,I have read and understand this section,I have read and understand this section,nnn
2022-02-18 09:38:36,2022-02-18 09:39:02,Survey Preview,,100,26,True,2022-02-18 09:39:04,R_3GBOCjn3m283nxV,,,,,12.9633941650390625,77.58551025390625,preview,EN,000000002,Fall 2021 (202130),,MUS 125|Symphony Orchestra|1006,,I have read and understand this section,I have read and understand this section,I have read and understand this section,I have read and understand this section,I have read and understand this section,nkkk
2022-02-18 09:39:06,2022-02-18 09:39:35,Survey Preview,,100,28,True,2022-02-18 09:39:37,R_27JAdTLFidVPjvh,,,,,12.9633941650390625,77.58551025390625,preview,EN,000000003,Summer 2021 (202120),BIOL 367|Virology|2004,,,I have read and understand this section,I have read and understand this section,I have read and understand this section,I have read and understand this section,I have read and understand this section,aaaa
2022-02-21 10:38:02,2022-02-21 10:39:40,Survey Preview,,100,97,True,2022-02-21 10:39:43,R_QcF0FkefrI0KUGl,,,,,12.9633941650390625,77.58551025390625,preview,EN,000000002,Fall 2021 (202130),,MUS 125|Symphony Orchestra|1006,,I have read and understand this section,I have read and understand this section,I have read and understand this section,I have read and understand this section,I have read and understand this section,sk
2022-02-23 15:05:25,2022-02-23 15:42:24,Survey Preview,,100,2219,True,2022-02-23 15:42:26,R_0cde1bwkEzhrEwV,,,,,12.9633941650390625,77.58551025390625,preview,EN,000000009,Summer 2021 (202120),CHEM 154|Organic Structure & Reactivity|2006,,,I have read and understand this section,I have read and understand this section,I have read and understand this section,I have read and understand this section,I have read and understand this section,shreedhar
2022-03-07 08:16:52,2022-03-07 08:19:56,Survey Preview,,100,184,True,2022-03-07 08:19:58,R_3k20iuQ7WNeJIDN,,,,,12.9633941650390625,77.58551025390625,preview,EN,002019353,Summer 2021 (202120),BIOL 300|Genetics|2005,,,I have read and understand this section,I have read and understand this section,I have read and understand this section,I have read and understand this section,I have read and understand this section,test01
